number,problem_id,opened_at,u_next_action_due_date,short_description,cmdb_ci,category,state,assignment_group,opened_by,impact,urgency,sys_updated_on,description,u_reopen_count,close_notes
INC6039315,,28/10/2025 15:42,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 3:40:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 3:40:00 PM
 
 [End Time]: 10/28/2025 3:40:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552059644
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 3:40:04 PM
 
 [Timestamp (UTC)]: 10/28/2025 10:40:04 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039312,,28/10/2025 15:36,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 3:35:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 3:35:00 PM
 
 [End Time]: 10/28/2025 3:35:01 PM
 
 [Duration]: 1 second
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552059284
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 3:35:51 PM
 
 [Timestamp (UTC)]: 10/28/2025 10:35:51 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039310,,28/10/2025 15:33,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 3:30:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 3:30:00 PM
 
 [End Time]: 10/28/2025 3:30:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552058696
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 3:30:50 PM
 
 [Timestamp (UTC)]: 10/28/2025 10:30:50 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039295,,28/10/2025 14:57,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 2:55:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 2:55:00 PM
 
 [End Time]: 10/28/2025 2:55:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552055457
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 2:56:07 PM
 
 [Timestamp (UTC)]: 10/28/2025 9:56:07 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039291,,28/10/2025 14:51,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 2:50:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 2:50:00 PM
 
 [End Time]: 10/28/2025 2:50:01 PM
 
 [Duration]: 1 second
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552054993
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 2:50:56 PM
 
 [Timestamp (UTC)]: 10/28/2025 9:50:56 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039271,,28/10/2025 14:11,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 2:10:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 2:10:00 PM
 
 [End Time]: 10/28/2025 2:10:01 PM
 
 [Duration]: 1 second
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552051048
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 2:10:02 PM
 
 [Timestamp (UTC)]: 10/28/2025 9:10:02 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039264,,28/10/2025 14:06,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 2:05:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 2:05:00 PM
 
 [End Time]: 10/28/2025 2:05:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552050628
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 2:06:00 PM
 
 [Timestamp (UTC)]: 10/28/2025 9:06:00 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039262,,28/10/2025 14:01,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 2:00:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 2:00:00 PM
 
 [End Time]: 10/28/2025 2:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552050086
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 2:00:47 PM
 
 [Timestamp (UTC)]: 10/28/2025 9:00:47 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039258,,28/10/2025 13:57,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 1:55:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 1:55:00 PM
 
 [End Time]: 10/28/2025 1:55:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552049647
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 1:55:45 PM
 
 [Timestamp (UTC)]: 10/28/2025 8:55:45 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039252,,28/10/2025 13:51,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 1:50:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 1:50:00 PM
 
 [End Time]: 10/28/2025 1:50:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552049215
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 1:50:33 PM
 
 [Timestamp (UTC)]: 10/28/2025 8:50:33 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039227,,28/10/2025 13:11,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 1:10:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 1:10:00 PM
 
 [End Time]: 10/28/2025 1:10:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552045615
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 1:10:15 PM
 
 [Timestamp (UTC)]: 10/28/2025 8:10:15 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039224,,28/10/2025 13:07,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 1:05:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 1:05:00 PM
 
 [End Time]: 10/28/2025 1:05:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552045186
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 1:05:13 PM
 
 [Timestamp (UTC)]: 10/28/2025 8:05:13 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
INC6039218,,28/10/2025 13:02,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,01/11/2025 0:00,"10/28/2025 1:00:00 PM -> :
 
  The job failed. Unable to determine if the owner (INT\Ssubramanian) of job MON_AO_Latency_Alert has server access (reason: Could not obtain information about Windows NT group/user 'INT\Ssubramanian', error code 0x5. [SQLSTATE 42000] (Error 15404)).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL401C.INT.MGC.COM
 
 [Object Name]: MON_AO_Latency_Alert
 
 [Message]: Job 'MON_AO_Latency_Alert' Failed
 
 [Start Time]: 10/28/2025 1:00:00 PM
 
 [End Time]: 10/28/2025 1:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=301&id=552044729
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: INT\Ssubramanian
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/28/2025 1:01:01 PM
 
 [Timestamp (UTC)]: 10/28/2025 8:01:01 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"I changed the job owner to SA and re-ran the job, it executed successfully."
